id,Collectives,Expenses,CrowdfundingUSD
482163,0,3,$201.55
624377,1,0,"$1,138.00"
64485,1,0,"$1,047.52"
621807,0,31,"$5,900.28"
787935,1,0,$94.47
845576,1,94,$133.00
526361,1,0,$110.00
629557,1,0,$919.56
17865,1,0,$631.80
869672,1,0,$880.00
35263,1,0,$296.00
554916,0,2,$446.00
644000,1,20,$500.00
696231,1,0,$212.48
735548,0,1,$236.80
766319,1,34,$180.00
586717,1,0,$740.00
265156,1,0,$556.30
429078,1,69,$384.02
179532,1,0,$245.00
476637,1,0,$240.00
678103,1,6,$428.00
588941,0,0,$517.44
531274,1,7,$721.09
417531,0,1,$492.00
63574,1,3,$320.00
204389,1,22,$518.02
96676,1,0,"$1,056.00"
519982,0,2,
67151,0,0,$555.86
183804,0,0,"$4,479.00"
735268,1,0,"$1,605.00"
801903,1,0,"$2,802.00"
777170,0,5,$680.00
557432,0,0,$666.00
49566,2,0,"$13,932.00"
804823,0,0,$737.88
422701,1,0,"$3,796.43"
736489,0,7,$493.32
618661,1,0,$932.00
28777,1,0,"$3,970.00"
250079,0,0,$774.62
790423,1,0,$940.00
152454,0,0,"$2,044.66"
143584,1,34,"$2,821.00"
78184,1,0,"$5,298.49"
481509,0,0,"$4,488.20"
25402,0,13,"$6,495.00"
41646,1,0,"$2,176.91"
795514,1,15,"$19,111.00"
656527,1,7,"$3,316.00"
231335,1,0,"$12,168.00"
418607,1,0,"$10,544.68"
54747,1,0,"$1,144.00"
719120,1,0,"$2,564.00"
253604,1,0,"$1,385.50"
796309,1,14,"$15,900.71"
787705,0,8,"$3,570.00"
739845,0,17,"$4,855.00"
18213,2,0,"$15,914.35"
155334,1,25,"$9,526.00"
57478,1,0,"$5,655.00"
125178,0,270,"$9,515.70"
514647,2,3,"$19,023.00"
770309,1,85,"$7,208.00"
633981,1,0,"$14,280.00"
797612,1,32,"$19,621.00"
51093,1,34,"$58,857.50"
777962,1,21,"$82,626.00"
161500,1,70,"$25,651.69"
281569,0,1,
45067,1,0,$170.06
461256,0,239,
773708,0,126,
870399,0,35,
711679,0,32,"$2,589.88"
839558,0,23,$0.64
728277,0,22,
591600,0,20,
544411,0,18,
548498,0,16,$858.40
544290,0,13,
294918,0,12,"$1,732.00"
757449,0,11,
815472,0,11,
771682,0,10,
788052,0,10,$1.05
785557,0,9,"$1,258.41"
633144,0,9,$115.46
634250,0,9,
544819,0,7,
842566,0,6,
574029,0,6,$600.00
575616,0,6,
685388,0,4,
784373,0,4,$102.00
553029,0,4,
751071,0,3,
819568,0,3,
581316,0,3,
500895,0,3,
371459,0,3,$7.35
547899,0,3,$5.00
822856,0,2,
717249,0,2,
575898,0,2,
757621,0,2,
625228,0,2,
593762,0,2,
623256,0,2,
644092,0,2,$5.25
734244,0,2,$25.00
545887,0,2,
647822,0,2,
885073,0,1,
797464,0,1,
871805,0,1,
789820,0,1,
816370,0,1,
830722,0,1,
864014,0,1,
431525,0,1,
803197,0,1,
823847,0,1,$99.71
806466,0,1,
148624,0,1,$11.38
787583,0,1,$5.00
789097,0,1,$4.38
767779,0,1,$1.00
533997,0,1,
569148,0,1,
657505,0,1,
845220,0,0,
815311,0,0,
889009,0,0,
648450,0,0,
472612,0,0,
737888,0,0,"$11,000.00"
666272,0,0,"$7,935.91"
558561,0,0,
757493,0,0,
752662,0,0,
851119,0,0,
861834,0,0,
832451,0,0,
866903,0,0,
795876,0,0,"$1,365.00"
844271,0,0,
787359,0,0,"$1,505.00"
790598,0,0,"$1,481.37"
787616,0,0,
789376,0,0,
849904,0,0,
795397,0,0,
635072,0,0,
757263,0,0,
790512,0,0,
757472,0,0,"$1,105.00"
764146,0,0,
757824,0,0,
865734,0,0,$1.00
124461,0,0,$879.58
661227,0,0,
790670,0,0,$766.22
539014,0,0,
826432,0,0,
835189,0,0,
686668,0,0,
832094,0,0,
788228,0,0,$228.47
590286,0,0,$419.85
814304,0,0,
769565,0,0,
802273,0,0,
867608,0,0,$350.00
433302,0,0,$242.00
606023,0,0,$255.06
785447,0,0,
624287,0,0,
555505,0,0,$240.00
135930,0,0,$210.11
757651,0,0,$209.92
603474,0,0,
798373,0,0,
781840,0,0,
774385,0,0,
771023,0,0,
771254,0,0,
637071,0,0,$146.95
778182,0,0,
754730,0,0,$141.18
678391,0,0,$112.31
852161,0,0,$105.00
784228,0,0,
640266,0,0,$101.81
783875,0,0,
821193,0,0,
772454,0,0,
770793,0,0,
823533,0,0,
785593,0,0,
788844,0,0,
879720,0,0,$78.72
859707,0,0,$2.82
221892,0,0,$60.00
633255,0,0,$60.00
502447,0,0,$60.00
779025,0,0,
